datetime,open,high,low,close,marketVolume
2019-02-01 09:30:00,305.57,305.57,303.76,303.76,57065.6
2019-02-01 09:35:00,304.92,308.34,304.92,308.34,43902.4
2019-02-01 09:40:00,308.64,309.45,308.41,309.08,43702.8
2019-02-01 09:45:00,309.275,309.68,308.87,309.68,34105.8
2019-02-01 09:50:00,309.56,309.56,308.88,309.3,21863.8
2019-02-01 09:55:00,309.02,309.37,308.0,308.2,21100.0
2019-02-01 10:00:00,308.85,310.0,308.52,310.0,22389.25
2019-02-01 10:05:00,309.63,312.67,309.63,312.67,67940.8
2019-02-01 10:10:00,312.51,314.68,312.43,313.5,64290.0
2019-02-01 10:15:00,313.455,315.0,313.42,314.85,46537.8
2019-02-01 10:20:00,314.83,315.14,314.4,314.75,39798.0
2019-02-01 10:25:00,314.48,316.02,313.98,316.02,46266.8
2019-02-01 10:30:00,316.095,316.095,314.78,315.12,34157.8
2019-02-01 10:35:00,315.28,315.435,314.11,314.39,36677.4
2019-02-01 10:40:00,314.76,315.1,314.4,315.1,22628.2
2019-02-01 10:45:00,315.48,315.48,314.615,314.615,27052.8
2019-02-01 10:50:00,314.79,314.88,314.02,314.07,21561.4
2019-02-01 10:55:00,313.46,313.795,312.57,312.95,31015.6
2019-02-01 11:00:00,311.9,312.81,311.9,312.8,20610.5
2019-02-01 11:05:00,313.02,313.57,313.02,313.57,12671.8
2019-02-01 11:10:00,313.04,313.2,312.5,313.14,13914.4
2019-02-01 11:15:00,313.44,313.44,312.57,312.57,8291.4
2019-02-01 11:20:00,313.0,313.21,313.0,313.15,10964.6
2019-02-01 11:25:00,313.05,313.05,312.63,312.88,8880.4
2019-02-01 11:30:00,313.07,313.33,312.5,312.74,16941.8
2019-02-01 11:35:00,312.78,313.28,312.78,313.11,6664.6
2019-02-01 11:40:00,313.58,313.9,313.495,313.495,13284.6
2019-02-01 11:45:00,313.33,313.33,312.6,312.63,11215.8
2019-02-01 11:50:00,312.9,313.2,312.65,313.2,7896.2
2019-02-01 11:55:00,313.36,314.44,313.36,314.44,12756.2
2019-02-01 12:00:00,313.91,313.91,313.91,313.91,7854.5
2019-02-01 12:05:00,313.73,314.23,313.73,314.23,10897.6
2019-02-01 12:10:00,314.23,314.6,314.12,314.36,12028.8
2019-02-01 12:15:00,314.505,314.505,313.85,313.85,15101.8
2019-02-01 12:20:00,313.71,313.71,312.99,313.11,13824.0
2019-02-01 12:25:00,313.08,313.48,313.04,313.48,8917.6
2019-02-01 12:30:00,313.56,313.56,312.66,312.685,11146.4
2019-02-01 12:35:00,312.65,312.65,311.94,312.05,16715.4
2019-02-01 12:40:00,312.41,312.41,312.28,312.29,15240.8
2019-02-01 12:45:00,312.45,312.45,312.16,312.16,6914.0
2019-02-01 12:50:00,311.5,311.89,311.5,311.625,11889.4
2019-02-01 12:55:00,311.88,311.88,311.49,311.49,10694.0
2019-02-01 13:00:00,311.48,312.25,311.24,311.98,15477.5
2019-02-01 13:05:00,312.2,312.285,312.12,312.19,9365.2
2019-02-01 13:10:00,312.0,312.0,311.75,311.775,6476.6
2019-02-01 13:15:00,311.705,311.705,311.4,311.58,5968.0
2019-02-01 13:20:00,311.68,311.78,311.355,311.78,8942.0
2019-02-01 13:25:00,311.75,312.65,311.75,312.27,8826.4
2019-02-01 13:30:00,311.61,312.0,311.61,312.0,7303.0
2019-02-01 13:35:00,311.835,311.835,311.28,311.28,11625.6
2019-02-01 13:40:00,311.16,311.21,310.43,310.45,12539.8
2019-02-01 13:45:00,310.26,310.26,309.65,310.0,20493.0
2019-02-01 13:50:00,309.735,309.81,309.34,309.81,11516.8
2019-02-01 13:55:00,309.86,310.745,309.86,310.38,13912.4
2019-02-01 14:00:00,309.92,310.0,309.84,309.84,7225.5
2019-02-01 14:05:00,310.13,310.39,310.0,310.06,8769.0
2019-02-01 14:10:00,310.13,310.18,310.13,310.18,6510.4
2019-02-01 14:15:00,310.4,310.4,310.015,310.15,10654.8
2019-02-01 14:20:00,310.2,310.31,310.2,310.31,7730.2
2019-02-01 14:25:00,310.0,310.0,310.0,310.0,5898.6
2019-02-01 14:30:00,310.18,311.31,310.18,311.31,13800.2
2019-02-01 14:35:00,310.94,311.4,310.8,311.4,11453.0
2019-02-01 14:40:00,310.98,311.0,310.9,310.9,7889.6
2019-02-01 14:45:00,310.98,310.98,310.72,310.72,11495.2
2019-02-01 14:50:00,310.98,310.98,310.54,310.63,6724.0
2019-02-01 14:55:00,310.6,310.65,310.26,310.27,9743.2
2019-02-01 15:00:00,310.015,310.015,309.68,310.0,17994.75
2019-02-01 15:05:00,309.66,310.4,309.52,310.4,18735.6
2019-02-01 15:10:00,310.7,310.92,310.14,310.14,13161.0
2019-02-01 15:15:00,310.325,310.57,310.325,310.45,10731.0
2019-02-01 15:20:00,310.59,310.59,310.53,310.53,7151.6
2019-02-01 15:25:00,310.7,310.825,310.7,310.825,7672.4
2019-02-01 15:30:00,311.03,311.46,310.73,311.4,18754.6
2019-02-01 15:35:00,311.23,311.3,310.55,310.56,11336.2
2019-02-01 15:40:00,310.57,310.805,310.43,310.77,10094.0
2019-02-01 15:45:00,310.76,311.21,310.74,310.98,24128.4
2019-02-01 15:50:00,311.05,311.76,311.05,311.65,29491.4
2019-02-01 15:55:00,311.67,312.36,311.39,312.33,54599.4
2019-02-04 09:30:00,312.91,312.95,307.22,307.48,76795.2
2019-02-04 09:35:00,307.99,308.48,301.99,304.155,105391.4
2019-02-04 09:40:00,304.85,307.2,304.09,307.08,49053.8
2019-02-04 09:45:00,306.99,307.08,306.26,306.52,40724.0
2019-02-04 09:50:00,306.64,308.435,305.98,307.56,38472.8
2019-02-04 09:55:00,308.09,308.86,307.71,308.67,31384.8
2019-02-04 10:00:00,308.58,309.54,308.58,309.18,27943.0
2019-02-04 10:05:00,309.31,310.61,309.31,309.77,36140.4
2019-02-04 10:10:00,310.94,311.41,310.1,310.68,29234.2
2019-02-04 10:15:00,310.5,310.5,310.02,310.02,28470.0
2019-02-04 10:20:00,308.99,308.99,307.5,307.5,27766.0
2019-02-04 10:25:00,307.99,309.38,307.99,309.38,21872.8
2019-02-04 10:30:00,310.5,310.5,310.3,310.3,21875.8
2019-02-04 10:35:00,310.8,310.95,310.31,310.31,28250.6
2019-02-04 10:40:00,310.98,311.28,310.72,311.28,21309.2
2019-02-04 10:45:00,311.0,311.0,309.71,309.71,16401.6
2019-02-04 10:50:00,310.96,311.0,310.07,310.07,29337.0
2019-02-04 10:55:00,310.97,310.97,310.7,310.7,15028.2
2019-02-04 11:00:00,310.3,311.33,310.11,310.9,20535.75
2019-02-04 11:05:00,310.775,312.21,310.775,312.21,28165.0
2019-02-04 11:10:00,311.99,311.99,311.21,311.33,17382.0
2019-02-04 11:15:00,311.78,312.13,311.43,311.94,25031.8
2019-02-04 11:20:00,312.23,312.45,311.91,311.91,25019.6
2019-02-04 11:25:00,311.6,311.69,310.5,310.5,20377.4
2019-02-04 11:30:00,310.67,310.99,310.62,310.75,10128.6
2019-02-04 11:35:00,310.84,310.84,310.4,310.4,7901.8
2019-02-04 11:40:00,310.9,310.9,310.24,310.3,16651.0
2019-02-04 11:45:00,310.11,310.48,310.11,310.48,13892.6
2019-02-04 11:50:00,310.33,310.45,309.95,310.26,15029.2
2019-02-04 11:55:00,309.88,310.08,309.88,310.08,10212.6
2019-02-04 12:00:00,309.715,310.68,309.715,310.68,13023.5
