datetime,open,high,low,close,marketVolume,profit
2019-02-01 09:30:00,305.57,305.57,303.76,303.76,57065.6,1.8100000000000023
2019-02-01 09:35:00,304.92,308.34,304.92,308.34,43902.4,-3.419999999999959
2019-02-01 09:40:00,308.64,309.45,308.41,309.08,43702.8,-0.4399999999999977
2019-02-01 09:45:00,309.275,309.68,308.87,309.68,34105.8,-0.40500000000002956
2019-02-01 09:50:00,309.56,309.56,308.88,309.3,21863.8,0.2599999999999909
2019-02-01 09:55:00,309.02,309.37,308.0,308.2,21100.0,0.8199999999999932
2019-02-01 10:00:00,308.85,310.0,308.52,310.0,22389.25,-1.1499999999999773
2019-02-01 10:05:00,309.63,312.67,309.63,312.67,67940.8,-3.0400000000000205
2019-02-01 10:10:00,312.51,314.68,312.43,313.5,64290.0,-0.9900000000000091
2019-02-01 10:15:00,313.455,315.0,313.42,314.85,46537.8,-1.3950000000000387
2019-02-01 10:20:00,314.83,315.14,314.4,314.75,39798.0,0.07999999999998408
2019-02-01 10:25:00,314.48,316.02,313.98,316.02,46266.8,-1.5399999999999636
2019-02-01 10:30:00,316.095,316.095,314.78,315.12,34157.8,0.9750000000000227
2019-02-01 10:35:00,315.28,315.435,314.11,314.39,36677.4,0.8899999999999864
2019-02-01 10:40:00,314.76,315.1,314.4,315.1,22628.2,-0.34000000000003183
2019-02-01 10:45:00,315.48,315.48,314.615,314.615,27052.8,0.8650000000000091
2019-02-01 10:50:00,314.79,314.88,314.02,314.07,21561.4,0.7200000000000273
2019-02-01 10:55:00,313.46,313.795,312.57,312.95,31015.6,0.5099999999999909
2019-02-01 11:00:00,311.9,312.81,311.9,312.8,20610.5,-0.9000000000000341
2019-02-01 11:05:00,313.02,313.57,313.02,313.57,12671.8,-0.5500000000000114
2019-02-01 11:10:00,313.04,313.2,312.5,313.14,13914.4,-0.0999999999999659
2019-02-01 11:15:00,313.44,313.44,312.57,312.57,8291.4,0.8700000000000045
2019-02-01 11:20:00,313.0,313.21,313.0,313.15,10964.6,-0.14999999999997726
2019-02-01 11:25:00,313.05,313.05,312.63,312.88,8880.4,0.17000000000001592
2019-02-01 11:30:00,313.07,313.33,312.5,312.74,16941.8,0.3299999999999841
2019-02-01 11:35:00,312.78,313.28,312.78,313.11,6664.6,-0.3300000000000409
2019-02-01 11:40:00,313.58,313.9,313.495,313.495,13284.6,0.08499999999997954
2019-02-01 11:45:00,313.33,313.33,312.6,312.63,11215.8,0.6999999999999886
2019-02-01 11:50:00,312.9,313.2,312.65,313.2,7896.2,-0.30000000000001137
2019-02-01 11:55:00,313.36,314.44,313.36,314.44,12756.2,-1.079999999999984
2019-02-01 12:00:00,313.91,313.91,313.91,313.91,7854.5,0.0
2019-02-01 12:05:00,313.73,314.23,313.73,314.23,10897.6,-0.5
2019-02-01 12:10:00,314.23,314.6,314.12,314.36,12028.8,-0.12999999999999545
2019-02-01 12:15:00,314.505,314.505,313.85,313.85,15101.8,0.6549999999999727
2019-02-01 12:20:00,313.71,313.71,312.99,313.11,13824.0,0.5999999999999659
2019-02-01 12:25:00,313.08,313.48,313.04,313.48,8917.6,-0.4000000000000341
2019-02-01 12:30:00,313.56,313.56,312.66,312.685,11146.4,0.875
2019-02-01 12:35:00,312.65,312.65,311.94,312.05,16715.4,0.5999999999999659
2019-02-01 12:40:00,312.41,312.41,312.28,312.29,15240.8,0.12000000000000455
2019-02-01 12:45:00,312.45,312.45,312.16,312.16,6914.0,0.2899999999999636
2019-02-01 12:50:00,311.5,311.89,311.5,311.625,11889.4,-0.125
2019-02-01 12:55:00,311.88,311.88,311.49,311.49,10694.0,0.38999999999998636
2019-02-01 13:00:00,311.48,312.25,311.24,311.98,15477.5,-0.5
2019-02-01 13:05:00,312.2,312.285,312.12,312.19,9365.2,0.009999999999990905
2019-02-01 13:10:00,312.0,312.0,311.75,311.775,6476.6,0.22500000000002274
2019-02-01 13:15:00,311.705,311.705,311.4,311.58,5968.0,0.125
2019-02-01 13:20:00,311.68,311.78,311.355,311.78,8942.0,-0.0999999999999659
2019-02-01 13:25:00,311.75,312.65,311.75,312.27,8826.4,-0.5199999999999818
2019-02-01 13:30:00,311.61,312.0,311.61,312.0,7303.0,-0.38999999999998636
2019-02-01 13:35:00,311.835,311.835,311.28,311.28,11625.6,0.5550000000000068
2019-02-01 13:40:00,311.16,311.21,310.43,310.45,12539.8,0.7100000000000364
2019-02-01 13:45:00,310.26,310.26,309.65,310.0,20493.0,0.2599999999999909
2019-02-01 13:50:00,309.735,309.81,309.34,309.81,11516.8,-0.07499999999998863
2019-02-01 13:55:00,309.86,310.745,309.86,310.38,13912.4,-0.5199999999999818
2019-02-01 14:00:00,309.92,310.0,309.84,309.84,7225.5,0.08000000000004093
2019-02-01 14:05:00,310.13,310.39,310.0,310.06,8769.0,0.06999999999999318
2019-02-01 14:10:00,310.13,310.18,310.13,310.18,6510.4,-0.05000000000001137
2019-02-01 14:15:00,310.4,310.4,310.015,310.15,10654.8,0.25
2019-02-01 14:20:00,310.2,310.31,310.2,310.31,7730.2,-0.11000000000001364
2019-02-01 14:25:00,310.0,310.0,310.0,310.0,5898.6,0.0
2019-02-01 14:30:00,310.18,311.31,310.18,311.31,13800.2,-1.1299999999999955
2019-02-01 14:35:00,310.94,311.4,310.8,311.4,11453.0,-0.45999999999997954
2019-02-01 14:40:00,310.98,311.0,310.9,310.9,7889.6,0.08000000000004093
2019-02-01 14:45:00,310.98,310.98,310.72,310.72,11495.2,0.2599999999999909
2019-02-01 14:50:00,310.98,310.98,310.54,310.63,6724.0,0.35000000000002274
2019-02-01 14:55:00,310.6,310.65,310.26,310.27,9743.2,0.3300000000000409
2019-02-01 15:00:00,310.015,310.015,309.68,310.0,17994.75,0.014999999999986358
2019-02-01 15:05:00,309.66,310.4,309.52,310.4,18735.6,-0.7399999999999523
2019-02-01 15:10:00,310.7,310.92,310.14,310.14,13161.0,0.5600000000000023
2019-02-01 15:15:00,310.325,310.57,310.325,310.45,10731.0,-0.125
2019-02-01 15:20:00,310.59,310.59,310.53,310.53,7151.6,0.060000000000002274
2019-02-01 15:25:00,310.7,310.825,310.7,310.825,7672.4,-0.125
2019-02-01 15:30:00,311.03,311.46,310.73,311.4,18754.6,-0.37000000000000455
2019-02-01 15:35:00,311.23,311.3,310.55,310.56,11336.2,0.6700000000000159
2019-02-01 15:40:00,310.57,310.805,310.43,310.77,10094.0,-0.19999999999998863
2019-02-01 15:45:00,310.76,311.21,310.74,310.98,24128.4,-0.22000000000002728
2019-02-01 15:50:00,311.05,311.76,311.05,311.65,29491.4,-0.5999999999999659
2019-02-01 15:55:00,311.67,312.36,311.39,312.33,54599.4,-0.6599999999999682
